Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
CDP|CDP
CD-R|CD-R
CD-ROM|CD-ROM
CD-RW|CD-RW
cell|վանդակ
cell phone|բջջային հեռախոս
cell range|վանդակի ընդգրկույթ
cell reference|վանդակի հղում
cell spacing|վանդակների հեռավորություն
cellular data|բջջային տվյալներ
cellular network|բջջային ցանց
cellular phone|բջջային հեռախոս
cent sign|ցենտի նշան
center|կենտրոնաբերել
Central Bank MFO Code|Կենտրոնական բանկի MFO կոդ
central bank transaction code|Կենտրոնական բանկի գործարքի կոդ
central processing unit|կենտրոնական մշակիչ սարք
Central Publishing service|Կենտրոնական հրատարակչական ծառայություն
certificate|վկայագիր
certificate chaining|վկայագրերի շղթաներ
certificate issuer|վկայագիր թողարկող
certificate of authenticity|իսկության վկայագիր
certificate revocation checking|վկայագրի ետկանչման ստուգում
certificate revocation list distribution point|Վկայագրերի հետկանչի ցուցակի բաշխման կետ
certification authority|վկայագրման ատյան
certification status|վկայագրման վիճակ
challenge|իսկորոշում
change|փոխել
Change Graphic|Փոխել գծապատկերը
change hint|փոփոխման ակնարկ
change history|փոփոխումների պատմություն
change marker|փոփոխության նշիչ
changed lines|փոփոխված տողեր
channel|կապուղի
channel partner|գործընկեր ըստ կապուղու
Channels|Կապուղիներ
chapter|գլուխ
char|գրանշ.
character|գրանշան
character code|գրանշանի կոդ
character map|գրանշանների քարտեզ
character set|գրանշանների կազմ
character spacing|միջգրանշանային տարածություն
character style|գրանշանի ոճ
chargeback|հետգանձում / հետվճար
charm|նշան
charm|հրաշք կոճակ
chart|գծապատկեր
chart|վարկացուցակ
chart area|գծույթի տարածք
Chart Component|Գծապատկերի բաղադրիչ
chart effect option|գծապատկերի էֆեկտի ընտրանք
chart element|գծապատկերի տարր
chart sheet|գծապատկերի թերթ
chart style|գծապատկերի ոճ
chat|զրուցել
chat|զրույց
check|կտրոն
check|ստուգել
check box|նշատուփ
check in|գրանցել
check mark|ստուգանիշ
Check Names|Ստուգել անունները
check out|դուրս գրել
checkout|ստուգարկ
checkpoint|ստուգակետ
cheque|կտրոն
Chevron List|Ծպեղների ցուցակ
CHF|CHF
child|երեխա
child account|երեխայի հաշիվ
child element|ենթատարր
child menu|ենթացանկ
choose|ընտրել
Circular Bending Process|Շրջանային ծռման ընթացք
citation|մեջբերում
City guides|Քաղաքի ուղեցույցներ
CJK Strokes|ՉՃԿ գծեր
CLABE|CLABE
Clarity and Conciseness|Հստակություն և հակիրճություն
class|դաս
class materials|դասի նյութեր
class module|դասի մոդուլ
Class Schedule|Դասի հերթացուցակ
Classic|Դասական
Classic view|Դասական տեսք
Classics|Դասական
Clean Up|Մաքրում
clear|մաքրել
Clear Recordings|Մաքրել գրառումները
ClearType|ClearType
ClearType Text Tuner|Գրվածքի ClearType կարգավորիչ
click|կտտացնել
Click and Type pointer shape|Կտտացնել և տպել ցուցիչի ձև
Click-to-Run|Click-to-Run
client|սպասառու
Client Access Rule|Սպասառուի մատչման կանոն
client computer|սպասառուի համակարգիչ
Client Hyper-V|Hyper-V սպասառու
client object model|սպասառու առարկայի մոդել
client-side rendering|սպասառուի կողմի նյութավորում
clip|հոլովակ
clip art|պատկերադարան
clip creation|հոլովակի ստեղծում
clipboard|սեղմատախտակ
clock|ժամացույց
clock speed|մշակման արագություն
CLOOKUP|CLOOKUP
close|փակել
close|գործարքի ավարտ
closed caption|փակ խորագիր
closed captioning|փակ խորագրում
Closed Chevron Process|Փակ ծպեղների ընթացք
closing chevron|փակող չակերտ
closing curly quotation mark|փակող կեռ չակերտ
closing parenthesis|փակող փակագիծ
closing quotation mark|փակող չակերտ
cloud|ամպ
Cloud App Model|Cloud գործադիրի մոդել
CLP|CLP
cluster|բույլ
clustered bar chart|փնջավոր գոտեձև գծապատկեր
clustered column chart|փնջավոր սյունակաձև գծապատկեր
Clutter|Նվազ առաջնահերթ
CNPJ|CNPJ
CNY|CNY
COA|COA
COALESCE|COALESCE
co-authoring|համահեղինակում
COD|COD
code|կոդ
code access security|կոդի մատչման անվտանգություն
Code of Conduct|Վարվեցողության կանոնագիրք
code page|կոդերի էջ
code pane|կոդի փեղկ
code sign|կոդով ստորագրել
codec|կոդեկ
coefficient of determination|սահմանման գործակից
cold boot|սառը սկզբնաբեռնում
cold start|սառը մեկնարկ
Collaboration|Գործակցություն
collapse|կոծկել
Collect On Delivery|վճարում ստանալուց
collection|հավաքածու
collocation|բառակապակցություն
color boost|գույնի խթանում
color box|գունատուփ
color category|գունային անվանակարգ
color depth|գույնի խորություն
color gamut|գունաշար
color monitor|գունավոր ցուցարկիչ
color printer|գունավոր տպիչ
color profile|գունային հատկագիր
color ramp|գունանցում
color scheme|գունավորում
color separation|գունաբաժանում
color space|գունային տարածություն
color space conversion|գունատարածության դարձում
color space model|գունային տարածության ձևարկ
color-space conversion|գունատարածության դարձում
column|սյունակ
column area|սյունակի տարածք
column break|սյան ընդհատում
column chart|սյունաձեւ գծույթ
column field|սյունակի դաշտ
column graph|սյունակաձև գծապատկեր
column heading|սյունակի վերնագիր
column selector|սյունակի ընտրիչ
COM add-in|COM հավելվածք
COM port|COM միացք
combination chart|համակցման գծապատկեր
combine|համակցել
combining character|համակցող գրանշան
combo box|համակցված տուփ
combo box control|համակցված տուփ
Coming soon|Շուտով
comma|ստորակետ
Comma After Greetings|Ստորակետ ողջույնից հետո
comma-delimited text file|ստորակետով տարանջատված գրվածքային նիշք
command|հրաման
command button|հրամանային կոճակ
command line|հրամանատող
command prompt window|հրամանատողի պատուհան
comment|մեկնաբանություն
comment hint|մեկնաբանության ակնարկ
comment mark|մեկնության նշան
Comments|Մեկնաբանություններ
Comments pane|Մեկնաբանություններ փեղկ
commercial printing|արդյունաբերական տպագրություն
common language runtime|սովորական լեզվի աշխատաժամանակ
Commonly Confused Phrases|Հաճախակի շփոթմունք առաջացնող բառակապակցություններ
communications port|հաղորդակցումների միացք
Community|Համայնք
community champion|համայնքի չեմպիոն
compact disc|սեղմասկավառակ
compact disc player|սեղմասկավառակի նվագարկիչ
compact disc read-only memory|սեղմասկավառակային միայն կարդալու հիշողություն
compact disc-recordable|գրանցելի սեղմասկավառակ
compact disc-rewritable|վերագրանցելի սեղմասկավառակ
compact row axis|տողերի խտացում
Companion|Թիմային
companion app|ուղեկից գործադիր
company|ընկերություն
company network|ընկերության ցանց
compare|համեմատել
Compare times|Համեմատել ժամանակը
comparison criteria|համեմատության չափանիշներ
comparison operator|համեմատության գործարկու
compatibility|համատեղելիություն
compatibility checker|համատեղելիության ստուգիչ
compatibility mode|համատեղելիության կերպ
Compatibility View|Համատեղելի տեսք
compatible|համատեղելի
compile|կազմարկել
complementary colors|լրացնող գույներ
Complete PC Backup|Complete PC պահուստավորում
Complete PC Restore|Complete PC վերականգնում
Complete the merge|ձուլման ավարտ
complex number|կոմպլեքս թիվ
complex script|բաղադրյալ սկրիպտ
Compliance Technologies International|Compliance Technologies International
